"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KTN1",2.70827706807165,8.53824258150764,3.34941110968531,0.00298665626993356,0.022288623180572,-1.69405503476156
"MYBPH",2.79975064545204,8.43700999563703,3.29589947463028,0.00338717003372926,0.0242125934468493,-1.70416501067288
"CAVIN2",3.3987593455232,6.79282430296313,3.66227352046784,0.00142143014650769,0.0153757831715663,-1.70982855889487
"COL4A2",3.14930037822015,7.18203597338323,3.59374274926805,0.00167388055393569,0.0165435964704196,-1.71626144364392
"NAP1L1",2.99649810886621,7.71165513499714,3.5394014932138,0.00190498838289587,0.0180129914180153,-1.71950780541959
"LAMC1",3.16872892331648,7.20080969127045,3.58490030322583,0.00170951284881811,0.0166928901708122,-1.72783998595205
"PREP",2.8946525853659,8.69934411624642,3.48481680261773,0.00216861764026391,0.0189073192863481,-1.74479894218465
"RPL6",2.98340510596079,7.72660225994052,3.51141650455472,0.00203595804706707,0.0187760575451741,-1.75811424523362
"ACP1",2.78506449279813,8.64829558240752,3.39160219645753,0.00270382141140224,0.0212605746770261,-1.77451023136807
"CDC37",2.99558618481756,7.65083484912541,3.50741719409004,0.00205538259713898,0.0188389055222432,-1.78163177220199
"SCP2",3.54487174180063,6.61457876313073,3.64396368876929,0.00148494934368643,0.0154063494407467,-1.79610871073569
"SFPQ",-4.69639149674197,7.09253505864003,-3.54319820919658,0.00188786970018474,0.0179648237711847,-1.79620710879168
"RPS9",3.35059569783207,7.02116706386655,3.54700474564908,0.00187085848419479,0.0179648237711847,-1.79694349308126
"RAD23A",2.71741306285452,8.42270740751069,3.25374737165388,0.00373906227154234,0.0252767377089786,-1.79781827152261
"DNPEP",2.97218309601693,7.60193108430194,3.50063665782234,0.0020887318450972,0.0189073192863481,-1.79799054184404
"LAMP1",2.69006326826677,8.33534349990778,3.26166136568467,0.00367038946734322,0.0252155338089281,-1.80082408543688
"EEA1",2.7513065348777,8.28638677872728,3.305907703473,0.00330848119358831,0.0237638024193314,-1.80840738093517
"ACTR1A",2.93704735599252,7.585211997212,3.48969681517514,0.00214366056918,0.0189073192863481,-1.81527706358545
"NUCB1",3.33983051133327,6.9190265747096,3.54339323135677,0.0018869944744493,0.0179648237711847,-1.81594471425841
"PPIF",2.79581725503545,8.45711746582898,3.38543720198596,0.00274345388697412,0.0214592675766457,-1.84556251068397
"HPRT1",2.90179572440789,7.85758680915788,3.40676398356862,0.00260871761945295,0.0206212916585329,-1.84742262859952
"SIRT5",-4.69883603273879,7.1202833777072,-3.49081761087113,0.00213796856067467,0.0189073192863481,-1.85867029449488
"PGP",2.93315492652087,8.74455406328269,3.49947820739483,0.00209448240254543,0.0189073192863481,-1.86968265284099
"AUH",2.84347338665673,7.93055485153021,3.37561174668792,0.00280779436955332,0.0217349470886666,-1.87213120048197
"TNS1",2.89178150539532,7.6617590249823,3.44025362386136,0.00241009890969798,0.0195689552776564,-1.87658144646996
"TXNDC17",3.35785826716342,7.02537483522619,3.48407001472538,0.00217246187245995,0.0189073192863481,-1.88882842735955
"HRG",2.74226969874341,7.66922037832377,3.42213387550385,0.00251564987076133,0.0202063489619217,-1.88921467657472
"NES",3.31571859254884,6.99545473006953,3.4815312059021,0.00218558091160677,0.0189073192863481,-1.8944467057613
"DYNC1I2",2.81727285728432,7.95142885287063,3.35300848316559,0.002961455114075,0.022288623180572,-1.8975242122511
"RPL7A",2.83197174386932,7.75898168360385,3.40904345497346,0.00259470524239419,0.0206196257028559,-1.89782227912021
"SUN2",-4.70764109337294,7.03243955055065,-3.47115261179511,0.00224002377087257,0.0189073192863481,-1.9046367500748
"SCFD1",3.21777817389139,6.94246635691712,3.47380363870453,0.00222599219770682,0.0189073192863481,-1.9114355417841
